ID,Título Serie o Película,Duración,Género,Calificación,Fecha,ID Episodio,Título Episodio,Temporada,Episodio
tt3501584,iZombie,42 min,"Comedy, Crime, Drama, Horror",8.2,2015–2019,tt5012590,Real Dead Housewife of Seattle,2,3
tt3501584,iZombie,42 min,"Comedy, Crime, Drama, Horror",8.3,2015–2019,tt5031902,Even Cowgirls Get the Black and Blues,2,4
tt3501584,iZombie,42 min,"Comedy, Crime, Drama, Horror",8.2,2015–2019,tt5119958,Love & Basketball,2,5
tt3501584,iZombie,42 min,"Comedy, Crime, Drama, Horror",8.3,2015–2019,tt5055264,Max Wager,2,6
tt3501584,iZombie,42 min,"Comedy, Crime, Drama, Horror",8.3,2015–2019,tt5178410,Abra Cadaver,2,7
tt3501584,iZombie,42 min,"Comedy, Crime, Drama, Horror",8.4,2015–2019,tt5104310,The Hurt Stalker,2,8
tt3501584,iZombie,42 min,"Comedy, Crime, Drama, Horror",8.5,2015–2019,tt5155188,Cape Town,2,9
tt3501584,iZombie,42 min,"Comedy, Crime, Drama, Horror",8.4,2015–2019,tt5202278,Method Head,2,10
tt3501584,iZombie,42 min,"Comedy, Crime, Drama, Horror",8.6,2015–2019,tt5270952,Fifty Shades of Grey Matter,2,11
tt3501584,iZombie,42 min,"Comedy, Crime, Drama, Horror",8.3,2015–2019,tt5256922,"Physician, Heal Thy Selfie",2,12
tt3501584,iZombie,42 min,"Comedy, Crime, Drama, Horror",8.5,2015–2019,tt5270964,The Whopper,2,13
tt3501584,iZombie,42 min,"Comedy, Crime, Drama, Horror",8.8,2015–2019,tt5270970,Eternal Sunshine of the Caffeinated Mind,2,14
tt3501584,iZombie,42 min,"Comedy, Crime, Drama, Horror",8.7,2015–2019,tt5270972,He Blinded Me... With Science,2,15
tt3501584,iZombie,42 min,"Comedy, Crime, Drama, Horror",8.8,2015–2019,tt5270980,"Pour Some Sugar, Zombie",2,16
tt3501584,iZombie,42 min,"Comedy, Crime, Drama, Horror",8.8,2015–2019,tt5270984,Reflections of the Way Liv Used to Be,2,17
tt3501584,iZombie,42 min,"Comedy, Crime, Drama, Horror",9.3,2015–2019,tt5270988,Dead Beat,2,18
tt3501584,iZombie,42 min,"Comedy, Crime, Drama, Horror",9.3,2015–2019,tt5223550,Salivation Army,2,19
tt3501584,iZombie,42 min,"Comedy, Crime, Drama, Horror",8.2,2015–2019,tt5540908,Heaven Just Got a Little Bit Smoother,3,1
tt3501584,iZombie,42 min,"Comedy, Crime, Drama, Horror",8.8,2015–2019,tt6176870,Zombie Knows Best,3,2
tt3501584,iZombie,42 min,"Comedy, Crime, Drama, Horror",8.1,2015–2019,tt6046100,Wag the Tongue Slowly,3,4
tt3501584,iZombie,42 min,"Comedy, Crime, Drama, Horror",8.5,2015–2019,tt6173596,Some Like It Hot Mess,3,6
